title,layout,URL,address,section_name,region_name,lng,lat,price,area
民權東路六段每坪900元超值價!泳池健身房等公設齊全,4房2廳2衛,https://rent.591.com.tw/rent-detail-4706171.html,台北市內湖區民權東路六段,內湖,台北市,121.5892020,25.0690883,59900,66
重陽路一層一戶河岸高樓景觀住宅,4房3廳3衛,https://rent.591.com.tw/rent-detail-4646052.html,台北市南港區重陽路,南港,台北市,121.6053454,25.0578851,198000,119.1
西園路一段全新舒適大套房龍山寺捷運站一分鐘鄰近西門,,https://rent.591.com.tw/rent-detail-4688683.html,台北市萬華區西園路一段,萬華,台北市,121.4993775,25.0367630,12000,14
吳興街284巷近北醫(夜景加露台),2房1廳1衛,https://rent.591.com.tw/rent-detail-4705881.html,台北市信義區吳興街284巷26-1號,信義,台北市,121.5633310,25.0236869,32800,32
"成功路二段太子晶華,3房2衛,車位/傢俱/屋況新",3房2廳2衛,https://rent.591.com.tw/rent-detail-4681910.html,台北市內湖區成功路二段,內湖,台北市,121.5914146,25.0690078,45000,45
重慶北路二段114巷近台北車站【雙連捷運公園旁】五星雅房限男,,https://rent.591.com.tw/rent-detail-4617489.html,台北市大同區重慶北路二段114巷13號,大同,台北市,121.5131280,25.0576570,5000,3
廈門街123巷古亭捷運站【牯嶺公園旁】五星級雅房～限女,,https://rent.591.com.tw/rent-detail-4654803.html,台北市中正區廈門街123巷10-1號,中正,台北市,121.5181195,25.0229222,6500,5
新明路陽台大景觀優～有電梯~垃圾代收,,https://rent.591.com.tw/rent-detail-4702652.html,台北市內湖區新明路,內湖,台北市,121.5837421,25.0565838,17500,12
市民大道京站小豪宅首選-挑高設計-百萬裝潢家電齊,,https://rent.591.com.tw/rent-detail-4754650.html,台北市大同區市民大道,大同,台北市,121.5109926,25.0499926,33000,18.3
延平北路一段69巷台北車站【月租飯店式】五星獨棟電梯套房,,https://rent.591.com.tw/rent-detail-4617479.html,台北市中正區延平北路一段69巷13號,中正,台北市,121.5127154,25.0515406,33000,8
林森北路中山捷運站全新裝潢2房,2房1廳1衛,https://rent.591.com.tw/rent-detail-4692610.html,台北市中山區林森北路,中山,台北市,121.5255125,25.0581791,21500,21
重慶北路二段114巷近台北車站【雙連捷運公園旁】五星雅房限男,,https://rent.591.com.tw/rent-detail-4734240.html,台北市大同區重慶北路二段114巷13號,大同,台北市,121.5131280,25.0576570,7000,5
延平北路一段69巷台北車站【月租飯店式】五星獨棟電梯套房,,https://rent.591.com.tw/rent-detail-4617478.html,台北市大同區延平北路一段69巷13號,大同,台北市,121.5127154,25.0515406,33000,8
興隆路三段221巷近萬芳醫院捷運站，美3房，採光通風機能佳,3房2廳2衛,https://rent.591.com.tw/rent-detail-4751613.html,台北市文山區興隆路三段221巷,文山,台北市,121.5607944,24.9941344,20900,27
中山北路一段53巷優質生活、屋齡新㊣交通便利近台北火車站,,https://rent.591.com.tw/rent-detail-4725547.html,台北市中山區中山北路一段53巷,中山,台北市,121.5227004,25.0490872,28000,17.2
八德路四段翔譽101時尚小豪宅精美時尚小豪邸,,https://rent.591.com.tw/rent-detail-4696066.html,台北市松山區八德路四段636號,松山,台北市,121.5744782,25.0497714,32000,19.4
八德路二段進安公園地下停車場優惠出租,類型：平面式,https://rent.591.com.tw/rent-detail-4701395.html,台北市中山區八德路二段158號,中山,台北市,121.5377235,25.0461039,4000,10
忠誠路二段207巷天母室內平面最低價熱烈搶租中！！！,類型：平面式,https://rent.591.com.tw/rent-detail-4724657.html,台北市士林區忠誠路二段207巷6號,士林,台北市,121.5301646,25.1085598,3666,10
建國南路一段第一豪宅最低價熱烈搶租中！！！,類型：平面式,https://rent.591.com.tw/rent-detail-4724653.html,台北市大安區建國南路一段222號,大安,台北市,121.5373425,25.0392425,4000,10
中山北路一段專屬*雙超大露臺花園*中山北晶華酒店,3房2廳2衛,https://rent.591.com.tw/rent-detail-4701046.html,台北市中山區中山北路一段,中山,台北市,121.5216314,25.0501448,59800,51
